Dataset,nVar,Year,Month,Prec,Tavg,Tmin,Tmax
Princeton,1,2021,6,87.2317562901249,25.004,21.441,29.283
Princeton,1,2021,7,66.6458566280362,23.795,19.826,28.231
Princeton,1,2021,8,21.3639889401112,23.358,19.539,27.675
Princeton,1,2021,9,45.8152353381824,23.796,19.315,28.689
Princeton,1,2021,10,16.4005323359518,25.311,20.28,30.495
Princeton,1,2021,11,32.2279559026075,26.081,20.875,31.484
Princeton,1,2021,12,42.9601496809226,26.799,22.37,31.512
Princeton,1,2022,1,9.02658835560031,26.423,21.707,31.901
Princeton,1,2022,2,8.56496481891564,27.251,22.174,33.056
Princeton,1,2022,3,14.3913501555349,27.433,22.106,33.338
Princeton,1,2022,4,42.0876878139318,27.257,22.725,32.255
Princeton,1,2022,5,53.5036292798022,26.057,22.45,30.306
Princeton,1,2022,6,27.0548356765517,23.876,19.595,29.095
Princeton,1,2022,7,41.9705626614676,23.266,19.455,27.723
Princeton,1,2022,8,142.688522896548,22.767,19.213,26.878
Princeton,1,2022,9,31.5227841531226,23.896,19.308,28.895
Princeton,1,2022,10,7.82492727302474,25.281,20.049,30.77
Princeton,1,2022,11,91.0223616049463,26.586,22.052,31.59
Princeton,1,2022,12,38.0807181484357,27.318,22.862,32.109
Princeton,1,2023,1,5.61527117864302,26.214,21.442,31.458
Princeton,1,2023,2,50.5474191487226,26.48,22.018,31.486
Princeton,1,2023,3,27.3931313046771,26.3,21.164,31.808
Princeton,1,2023,4,205.496850162061,26.195,21.866,31.066
Princeton,1,2023,5,137.500221216355,24.795,21.379,28.762
Princeton,1,2023,6,19.0335577250986,23.614,19.788,28.193
Princeton,1,2023,7,62.4615933819318,22.896,19.168,27.267
Princeton,1,2023,8,26.5958662483056,23.039,19.054,27.523
Princeton,1,2023,9,20.7747112964847,23.596,19.393,28.354
Princeton,1,2023,10,19.8786790492217,24.681,20.088,29.735
Princeton,1,2023,11,124.375385230878,26.153,22.074,30.348
Princeton,1,2023,12,93.8583596823339,26.314,21.988,31.14
Princeton,1,2024,1,16.9756617623251,26.213,21.727,31.631
Princeton,1,2024,2,3.44132889537198,26.651,22.038,32.216
Princeton,1,2024,3,126.852362276407,27.333,23.015,32.134
Princeton,1,2024,4,288.644779516151,25.795,21.797,30.304
Princeton,1,2024,5,128.942703584414,24.361,20.886,28.393
Princeton,1,2024,6,75.8229502653391,23.342,19.462,27.655
Princeton,1,2024,7,35.2964581563527,23.105,19.176,27.672
Princeton,1,2024,8,52.907583676312,22.776,18.677,27.246
Princeton,1,2024,9,21.117673064141,23.395,18.785,28.396
Princeton,1,2024,10,44.7615235990086,25.01,20.234,30.175
Princeton,1,2024,11,115.87807040937,25.882,22.411,29.443
Princeton,1,2024,12,64.516294130329,25.48,21.339,29.908
Princeton,1,2025,1,5.49257849656818,26.214,21.442,31.458
Princeton,1,2025,2,49.4429669806945,26.48,22.018,31.486
Princeton,1,2025,3,26.7945962307199,26.3,21.164,31.808
Princeton,1,2025,4,201.006780332449,26.195,21.866,31.066
Princeton,1,2025,5,134.495865702576,24.795,21.379,28.762
Princeton,1,2025,6,18.6176778552892,23.614,19.788,28.193
Princeton,1,2025,7,61.0968186141798,22.896,19.168,27.267
Princeton,1,2025,8,26.014751274817,23.039,19.054,27.523
Princeton,1,2025,9,20.3207875291,23.596,19.393,28.354
Princeton,1,2025,10,19.4443334279576,24.681,20.088,29.735
Princeton,1,2025,11,121.657805061979,26.153,22.074,30.348
Princeton,1,2025,12,91.8075711240949,26.314,21.988,31.14
Princeton,1,2026,1,9.54677592838849,26.423,21.707,31.901
Princeton,1,2026,2,9.05854977977227,27.251,22.174,33.056
Princeton,1,2026,3,15.2207002058125,27.433,22.106,33.338
Princeton,1,2026,4,44.5131326559593,27.257,22.725,32.255
Princeton,1,2026,5,56.5869562195038,26.057,22.45,30.306
Princeton,1,2026,6,28.6139617547933,23.876,19.595,29.095
Princeton,1,2026,7,44.389257771883,23.266,19.455,27.723
Princeton,1,2026,8,150.911429876043,22.767,19.213,26.878
Princeton,1,2026,9,33.339390818914,23.896,19.308,28.895
Princeton,1,2026,10,8.27586507643896,25.281,20.049,30.77
Princeton,1,2026,11,96.267831929662,26.586,22.052,31.59
Princeton,1,2026,12,40.275247860359,27.318,22.862,32.109
Princeton,1,2027,1,4.21519568594065,26.714,21.77,32.127
Princeton,1,2027,2,0.0145171922230783,26.909,21.916,32.884
Princeton,1,2027,3,85.4110262340006,26.971,21.618,32.948
Princeton,1,2027,4,168.649771879876,25.453,21.155,30.155
Princeton,1,2027,5,372.599103316782,24.181,20.758,28.115
Princeton,1,2027,6,59.5964296311165,23.3,19.622,27.715
Princeton,1,2027,7,89.1992716498769,22.391,18.716,26.68
Princeton,1,2027,8,26.2439752353946,22.125,18.112,26.797
Princeton,1,2027,9,63.8968387628921,22.511,18.056,27.422
Princeton,1,2027,10,166.806424023083,24.148,20.021,28.668
Princeton,1,2027,11,121.859642748468,25.853,21.424,30.495
Princeton,1,2027,12,110.094226697236,26.214,21.76,31.028
Princeton,1,2028,1,6.57802384906785,26.623,22.467,31.635
Princeton,1,2028,2,19.6173946328316,26.98,22.212,32.234
Princeton,1,2028,3,55.5985813857852,27.242,22.588,32.243
Princeton,1,2028,4,104.051427368991,26.595,22.707,31.34
Princeton,1,2028,5,162.941342607955,24.952,21.758,28.648
Princeton,1,2028,6,3.56396697482,24.024,20.169,28.611
Princeton,1,2028,7,38.5353082615927,23.696,19.992,28.081
Princeton,1,2028,8,82.9073646525869,23.168,19.479,27.348
Princeton,1,2028,9,30.6891243846748,23.833,19.393,28.767
Princeton,1,2028,10,80.2458539441528,25.21,21.304,29.398
Princeton,1,2028,11,104.196547909255,25.953,21.691,30.587
Princeton,1,2028,12,62.0903068869097,26.243,22.024,30.602
Princeton,1,2029,1,2.52528704249888,27.043,22.147,32.636
Princeton,1,2029,2,86.696047155995,27.579,22.761,32.75
Princeton,1,2029,3,22.3476140190905,27.4,22.311,32.888
Princeton,1,2029,4,114.501281879519,26.704,22.294,31.422
Princeton,1,2029,5,32.7590409098993,25.924,22.236,30.285
Princeton,1,2029,6,41.9997093942059,24.333,20.451,28.971
Princeton,1,2029,7,135.697002793445,23.524,19.97,27.676
Princeton,1,2029,8,33.6690142685076,23.395,19.724,27.595
Princeton,1,2029,9,254.848026590731,23.805,19.917,28.025
Princeton,1,2029,10,130.015217920183,24.891,20.881,29.172
Princeton,1,2029,11,255.735805477178,25.662,22.004,29.528
Princeton,1,2029,12,125.576323487947,26.614,22.548,30.867
Princeton,1,2030,1,1.98960412954926,26.842,22.069,32.346
Princeton,1,2030,2,35.2921906979833,27.451,22.834,33.031
Princeton,1,2030,3,17.9720517702157,27.5,23.419,31.975
Princeton,1,2030,4,80.9102151683134,27.257,23.235,31.892
Princeton,1,2030,5,369.600716065841,25.153,21.712,29.093
Princeton,1,2030,6,88.2728087477145,25.004,21.441,29.283
Princeton,1,2030,7,67.4412301913063,23.795,19.826,28.231
Princeton,1,2030,8,21.6189538076767,23.358,19.539,27.675
Princeton,1,2030,9,46.3620094187733,23.796,19.315,28.689
Princeton,1,2030,10,16.5962616806337,25.311,20.28,30.495
Princeton,1,2030,11,32.6125749235052,26.081,20.875,31.484
Princeton,1,2030,12,43.4728502306512,26.799,22.37,31.512
Princeton,1,2031,1,91.7295658748454,25.762,21.843,30.356
Princeton,1,2031,2,5.02662381906847,26.48,21.528,32.406
Princeton,1,2031,3,101.239394721732,26.881,21.622,32.466
Princeton,1,2031,4,75.0399742191388,26.024,21.528,30.634
Princeton,1,2031,5,92.4651163826247,24.414,20.669,28.706
Princeton,1,2031,6,36.965115451352,23.905,19.928,28.711
Princeton,1,2031,7,47.0712832334043,22.996,19.17,27.549
Princeton,1,2031,8,28.7081907579851,23.258,19.378,27.549
Princeton,1,2031,9,19.6387048996486,23.386,19.037,28.134
Princeton,1,2031,10,7.22231613349853,24.772,20.111,29.776
Princeton,1,2031,11,23.9295807477142,26.453,21.569,31.858
Princeton,1,2031,12,85.5351445516141,26.223,22.079,30.937
Princeton,1,2032,1,20.7771229045928,26.804,22.05,32.294
Princeton,1,2032,2,3.61391880815396,27.18,22.531,32.745
Princeton,1,2032,3,10.7568576320677,28.271,23.101,34.113
Princeton,1,2032,4,153.41994540447,27.014,22.713,31.727
Princeton,1,2032,5,152.205671896232,25.485,21.889,29.643
Princeton,1,2032,6,93.5050813252675,24.104,20.342,28.684
Princeton,1,2032,7,11.3549625997618,23.158,18.879,28.185
Princeton,1,2032,8,40.9972856463162,22.948,17.787,28.935
Princeton,1,2032,9,17.3661182314518,23.686,17.59,30.425
Princeton,1,2032,10,43.0565329511956,25.343,19.151,31.917
Princeton,1,2032,11,101.798268326985,26.119,19.999,32.588
Princeton,1,2032,12,37.2260130480038,26.013,20.151,32.707
Princeton,1,2033,1,5.4410337163971,26.214,21.442,31.458
Princeton,1,2033,2,48.9789723622074,26.48,22.018,31.486
Princeton,1,2033,3,26.5431439167751,26.3,21.164,31.808
Princeton,1,2033,4,199.120444013067,26.195,21.866,31.066
Princeton,1,2033,5,133.233697153526,24.795,21.379,28.762
Princeton,1,2033,6,18.4429613513837,23.614,19.788,28.193
Princeton,1,2033,7,60.5234591097889,22.896,19.168,27.267
Princeton,1,2033,8,25.7706173700392,23.039,19.054,27.523
Princeton,1,2033,9,20.130088292531,23.596,19.393,28.354
Princeton,1,2033,10,19.2618592234026,24.681,20.088,29.735
Princeton,1,2033,11,120.516114538679,26.153,22.074,30.348
