Id,dataset,K,nclim,prio,alpha,rel_dom,rel_irr,rel_eco,crel_dom,crel_irr,crel_eco
688,Princeton,120,115,2,0.9,64.3333333333333,63.6666666666667,78.3333333333333,82.0586029590269,63.8069924742642,78.7798154415984
689,Princeton,120,115,3,0.5,66.8333333333333,64.6666666666667,77.6666666666667,80.267519079258,69.100501209088,76.6789367614522
690,Princeton,120,115,3,0.9,64.3333333333333,63.8333333333333,77.6666666666667,82.0586029590269,65.4217589778634,72.2102005326919
691,Princeton,120,116,1,0.5,64.8333333333333,63,86,78.755225306925,67.1518611104793,90.8241569554363
692,Princeton,120,116,1,0.9,63.1666666666667,63,78.6666666666667,79.9012233546524,62.676448442111,96.8952356671449
693,Princeton,120,116,2,0.5,65.8333333333333,63,78.5,79.7162405062653,67.1518611104793,80.3959099718257
694,Princeton,120,116,2,0.9,63.5,63,77.1666666666667,81.6583757422348,62.676448442111,77.8278795024048
695,Princeton,120,116,3,0.5,65.8333333333333,63.6666666666667,77,79.7162405062653,68.2721671508161,75.7632453932986
696,Princeton,120,116,3,0.9,63.5,63,77,81.6583757422348,64.3599696891127,70.8662199492367
697,Princeton,120,117,1,0.5,64.5,62.5,84.5,78.1204730819404,66.5300666394892,90.1458382458031
698,Princeton,120,117,1,0.9,62.8333333333333,62.5,77.6666666666667,79.3311872311502,61.8257316105768,96.7782700573556
699,Princeton,120,117,2,0.5,65.5,62.5,78.1666666666667,79.098107851385,66.5300666394892,79.5372476194195
700,Princeton,120,117,2,0.9,63,62.5,76.8333333333333,81.207808059821,61.8257316105768,76.414528142139
701,Princeton,120,117,3,0.5,65.5,63.1666666666667,76.5,79.098107851385,67.6060490102379,75.0153711937172
702,Princeton,120,117,3,0.9,63,62.5,76.5,81.207808059821,63.2999194422142,70.2191708722049
703,Princeton,120,118,1,0.5,63.5,60.5,83.8333333333333,77.6544987482966,65.5326529332453,89.5154779951787
704,Princeton,120,118,1,0.9,61.3333333333333,60.5,77.1666666666667,78.7053585514615,61.1988006049484,96.6203823909768
705,Princeton,120,118,2,0.5,64.3333333333333,60.5,77.6666666666667,78.6293638857793,65.5326529332453,78.9369414263918
706,Princeton,120,118,2,0.9,61.6666666666667,60.5,76,80.6352001174354,61.1988006049484,75.679127244307
707,Princeton,120,118,3,0.5,64.3333333333333,61.6666666666667,75.3333333333333,78.6293638857793,66.8501298453694,73.3105455732743
708,Princeton,120,118,3,0.9,61.6666666666667,60.8333333333333,75.3333333333333,80.6352001174354,62.653426959628,69.4670231728893
709,Princeton,120,119,1,0.5,62.8333333333333,59.8333333333333,83.5,77.1238498650057,64.6327493635368,89.24264527559
710,Princeton,120,119,1,0.9,60,59.8333333333333,76.3333333333333,78.2420583567745,60.1830182972475,96.4179153958969
711,Princeton,120,119,2,0.5,63.8333333333333,59.8333333333333,77.1666666666667,78.1415615355588,64.6327493635368,78.1991688915366
712,Princeton,120,119,2,0.9,60.1666666666667,59.8333333333333,75.1666666666667,80.1858446220601,60.1830182972475,75.3253423838745
713,Princeton,120,119,3,0.5,63.8333333333333,60.1666666666667,75,78.1415615355588,65.9232484556457,72.5991472978608
714,Princeton,120,119,3,0.9,60.1666666666667,59.8333333333333,75,80.1858446220601,61.7991071579511,68.3124490214708
715,Princeton,120,120,1,0.5,62,59,82.8333333333333,76.5758982263046,63.8439488871744,88.738117632371
716,Princeton,120,120,1,0.9,59.3333333333333,59,75.8333333333333,77.7158295896512,59.3140883227839,96.3403433488016
717,Princeton,120,120,2,0.5,62.8333333333333,59,76.5,77.5885827000144,63.8439488871744,77.7491927791921
718,Princeton,120,120,2,0.9,59.5,59,74.6666666666667,79.7566003606101,59.3140883227839,74.1953641111137
719,Princeton,120,120,3,0.5,62.8333333333333,59.8333333333333,74.3333333333333,77.5885827000144,65.14819668485,71.9988255002317
720,Princeton,120,120,3,0.9,59.5,59.1666666666667,74.3333333333333,79.7566003606101,60.9238067605546,67.0981911280404
721,Princeton,120,121,1,0.5,73.8333333333333,71.6666666666667,89.5,84.5401728829469,74.2681063393697,93.4625648522121
722,Princeton,120,121,1,0.9,72.8333333333333,71.6666666666667,84.8333333333333,85.4716335737007,70.6501036887201,97.8179430748713
723,Princeton,120,121,2,0.5,75,71.6666666666667,84.8333333333333,85.1689619193909,74.2681063393697,86.639397667005
724,Princeton,120,121,2,0.9,73.1666666666667,71.6666666666667,84,86.7217246700691,70.6501036887201,84.2528519983814
725,Princeton,120,121,3,0.5,75,72.5,83.5,85.1689619193909,75.2413201609512,82.7489874387086
