"Mwache Weap verificaiton run (Oct 17, 2014) with Mwache_4_14_test all units are in cubic meters per month // Single user system",,,,,,,,
Year,Month,Date,Inflow,Nevap,Rel_Flood, Demand,Supply,Storage
2037,12,Dec-37,18924000,238966,375980,6579657,6579657,65000000
2038,1,Jan-38,8526390,358448,1588300,6579657,6579657,65000000
2038,2,Feb-38,2147670,456207,0,5942916,5942916,60748548
2038,3,Mar-38,1573910,366595,0,6579657,6579657,55376207
2038,4,Apr-38,15607900,119483,0,6367410,6367410,64497215
2038,5,May-38,13040100,-62457,6020100,6579657,6579657,65000000
2038,6,Jun-38,10054400,138491,3548500,6367410,6367410,65000000
2038,7,Jul-38,3638970,122198,0,6579657,6579657,61937115
2038,8,Aug-38,4990420,200948,0,6579657,6579657,60146930
2038,9,Sep-38,3038640,282414,0,6367410,6367410,56535747
2038,10,Oct-38,3391280,209095,0,6579657,6579657,53138276
2038,11,Nov-38,7100540,122198,0,6367410,6367410,53749208
2038,12,Dec-38,3619390,238966,0,6579657,6579657,50549976
2039,1,Jan-39,4937960,358448,0,6579657,6579657,48549831
2039,2,Feb-39,1538460,336000,0,5942916,5942916,43809375
2039,3,Mar-39,1738930,270000,0,6579657,6579657,38698648
2039,4,Apr-39,3402590,88000,0,6367410,6367410,35645828
2039,5,May-39,4136030,-46000,0,6579657,6579657,33248201
2039,6,Jun-39,4274740,102000,0,6367410,6367410,31053531
2039,7,Jul-39,5119450,90000,0,6579657,6579657,29503324
2039,8,Aug-39,2113130,111000,0,6579657,6579657,24925798
2039,9,Sep-39,1953920,156000,0,6367410,5245400,21478318
2039,10,Oct-39,1566000,115500,0,6579657,2485000,20443819
2039,11,Nov-39,3055430,67500,0,6367410,3298200,20133549
2039,12,Dec-39,1463760,132000,0,6579657,1425100,20040209
2040,1,Jan-40,2005590,198000,0,6579657,1835500,20012299
2040,2,Feb-40,888111,252000,0,5942916,644650,20003761
2040,3,Mar-40,581897,202500,0,6579657,381990,20001168
2040,4,Apr-40,6064530,66000,0,6367410,5998737,20000961
2040,5,May-40,7288710,-34500,0,6579657,6579657,20744514
2040,6,Jun-40,5067340,76500,0,6367410,5511400,20223954
2040,7,Jul-40,4327840,67500,0,6579657,4416600,20067694
2040,8,Aug-40,1805220,111000,0,6579657,1741400,20020515
2040,9,Sep-40,2897530,156000,0,6367410,2755600,20006446
2040,10,Oct-40,1928460,115500,0,6579657,1817200,20002207
2040,11,Nov-40,2261460,67500,0,6367410,2195200,20000967
2040,12,Dec-40,2717580,132000,0,6579657,2585900,20000647
2041,1,Jan-41,12183200,198000,0,6579657,6579657,25406190
2041,2,Feb-41,1961880,252000,0,5942916,5493600,21622471
2041,3,Mar-41,750995,202500,0,6579657,1684000,20486967
2041,4,Apr-41,1948580,66000,0,6367410,2223200,20146347
2041,5,May-41,3159020,-34500,0,6579657,3295600,20044267
2041,6,Jun-41,3098630,76500,0,6367410,3052800,20013597
2041,7,Jul-41,4188920,67500,0,6579657,4130500,20004517
2041,8,Aug-41,4352520,111000,0,6579657,4244200,20001838
2041,9,Sep-41,3548070,156000,0,6367410,3393000,20000908
2041,10,Oct-41,2486860,115500,0,6579657,2371700,20000569
2041,11,Nov-41,3847720,67500,0,6367410,3780200,20000589
2041,12,Dec-41,3211060,132000,0,6579657,3079100,20000549
2042,1,Jan-42,2280380,198000,0,6579657,2082500,20000430
2042,2,Feb-42,963386,252000,0,5942916,711610,20000207
2042,3,Mar-42,2697670,202500,0,6579657,2495006,20000372
2042,4,Apr-42,5572330,66000,0,6367410,5506000,20000702
2042,5,May-42,2624490,-34500,0,6579657,2659200,20000492
2042,6,Jun-42,2261730,76500,0,6367410,2185300,20000422
2042,7,Jul-42,1498420,67500,0,6579657,1431000,20000342
2042,8,Aug-42,2401170,111000,0,6579657,2290100,20000413
2042,9,Sep-42,4637480,156000,0,6367410,4481300,20000594
2042,10,Oct-42,18320100,115500,0,6579657,6579657,31625537
2042,11,Nov-42,34876100,90000,0,6367410,6367410,60044227
2042,12,Dec-42,28331700,238966,16557000,6579657,6579657,65000000
2043,1,Jan-43,28577100,358448,21639000,6579657,6579657,65000000
2043,2,Feb-43,2963820,456207,0,5942916,5942916,61564698
2043,3,Mar-43,25095400,366595,14714000,6579657,6579657,65000000
2043,4,Apr-43,41731100,119483,35244000,6367410,6367410,65000000
2043,5,May-43,24639100,-62457,18122000,6579657,6579657,65000000
2043,6,Jun-43,13348300,138491,6842400,6367410,6367410,65000000
2043,7,Jul-43,8610680,122198,1908800,6579657,6579657,65000000
2043,8,Aug-43,7000830,200948,220230,6579657,6579657,65000000
2043,9,Sep-43,5907200,282414,0,6367410,6367410,64257377
2043,10,Oct-43,5921560,209095,0,6579657,6579657,63390186
2043,11,Nov-43,23603700,122198,15504000,6367410,6367410,65000000
2043,12,Dec-43,44135100,238966,37316000,6579657,6579657,65000000
2044,1,Jan-44,90516800,358448,83579000,6579657,6579657,65000000
2044,2,Feb-44,16593400,456207,10194000,5942916,5942916,65000000
